id,"Date",Open,High,Low,Close,Adj Close,Volume
1,"1950-01-03 00:00:00",16.66,16.66,16.66,16.66,16.66,1260000
2,"1950-01-04 00:00:00",16.85,16.85,16.85,16.85,16.85,1890000
3,"1950-01-05 00:00:00",16.93,16.93,16.93,16.93,16.93,2550000
4,"1950-01-06 00:00:00",16.98,16.98,16.98,16.98,16.98,2010000
5,"1950-01-09 00:00:00",17.08,17.08,17.08,17.08,17.08,2520000
6,"1950-01-10 00:00:00",17.03,17.03,17.03,17.03,17.03,2160000
7,"1950-01-11 00:00:00",17.09,17.09,17.09,17.09,17.09,2630000
8,"1950-01-12 00:00:00",16.76,16.76,16.76,16.76,16.76,2970000
9,"1950-01-13 00:00:00",16.67,16.67,16.67,16.67,16.67,3330000
10,"1950-01-16 00:00:00",16.72,16.72,16.72,16.72,16.72,1460000
11,"1950-01-17 00:00:00",16.86,16.86,16.86,16.86,16.86,1790000
12,"1950-01-18 00:00:00",16.85,16.85,16.85,16.85,16.85,1570000
13,"1950-01-19 00:00:00",16.87,16.87,16.87,16.87,16.87,1170000
14,"1950-01-20 00:00:00",16.9,16.9,16.9,16.9,16.9,1440000
15,"1950-01-23 00:00:00",16.92,16.92,16.92,16.92,16.92,1340000
16,"1950-01-24 00:00:00",16.86,16.86,16.86,16.86,16.86,1250000
17,"1950-01-25 00:00:00",16.74,16.74,16.74,16.74,16.74,1700000
18,"1950-01-26 00:00:00",16.73,16.73,16.73,16.73,16.73,1150000
19,"1950-01-27 00:00:00",16.82,16.82,16.82,16.82,16.82,1250000
20,"1950-01-30 00:00:00",17.02,17.02,17.02,17.02,17.02,1640000
21,"1950-01-31 00:00:00",17.05,17.05,17.05,17.05,17.05,1690000
22,"1950-02-01 00:00:00",17.05,17.05,17.05,17.05,17.05,1810000
23,"1950-02-02 00:00:00",17.23,17.23,17.23,17.23,17.23,2040000
24,"1950-02-03 00:00:00",17.29,17.29,17.29,17.29,17.29,2210000
25,"1950-02-06 00:00:00",17.32,17.32,17.32,17.32,17.32,1490000
26,"1950-02-07 00:00:00",17.23,17.23,17.23,17.23,17.23,1360000
27,"1950-02-08 00:00:00",17.21,17.21,17.21,17.21,17.21,1470000
28,"1950-02-09 00:00:00",17.28,17.28,17.28,17.28,17.28,1810000
29,"1950-02-10 00:00:00",17.24,17.24,17.24,17.24,17.24,1790000
30,"1950-02-14 00:00:00",17.06,17.06,17.06,17.06,17.06,2210000
31,"1950-02-15 00:00:00",17.06,17.06,17.06,17.06,17.06,1730000
32,"1950-02-16 00:00:00",16.99,16.99,16.99,16.99,16.99,1920000
33,"1950-02-17 00:00:00",17.15,17.15,17.15,17.15,17.15,1940000
34,"1950-02-20 00:00:00",17.2,17.2,17.2,17.2,17.2,1420000
35,"1950-02-21 00:00:00",17.17,17.17,17.17,17.17,17.17,1260000
36,"1950-02-23 00:00:00",17.21,17.21,17.21,17.21,17.21,1310000
37,"1950-02-24 00:00:00",17.28,17.28,17.28,17.28,17.28,1710000
38,"1950-02-27 00:00:00",17.28,17.28,17.28,17.28,17.28,1410000
39,"1950-02-28 00:00:00",17.22,17.22,17.22,17.22,17.22,1310000
40,"1950-03-01 00:00:00",17.24,17.24,17.24,17.24,17.24,1410000
41,"1950-03-02 00:00:00",17.23,17.23,17.23,17.23,17.23,1340000
42,"1950-03-03 00:00:00",17.29,17.29,17.29,17.29,17.29,1520000
43,"1950-03-06 00:00:00",17.32,17.32,17.32,17.32,17.32,1470000
44,"1950-03-07 00:00:00",17.2,17.2,17.2,17.2,17.2,1590000
45,"1950-03-08 00:00:00",17.19,17.19,17.19,17.19,17.19,1360000
46,"1950-03-09 00:00:00",17.07,17.07,17.07,17.07,17.07,1330000
47,"1950-03-10 00:00:00",17.09,17.09,17.09,17.09,17.09,1260000
48,"1950-03-13 00:00:00",17.12,17.12,17.12,17.12,17.12,1060000
49,"1950-03-14 00:00:00",17.25,17.25,17.25,17.25,17.25,1140000
50,"1950-03-15 00:00:00",17.45,17.45,17.45,17.45,17.45,1830000
51,"1950-03-16 00:00:00",17.49,17.49,17.49,17.49,17.49,2060000
52,"1950-03-17 00:00:00",17.45,17.45,17.45,17.45,17.45,1600000
53,"1950-03-20 00:00:00",17.44,17.44,17.44,17.44,17.44,1430000
54,"1950-03-21 00:00:00",17.45,17.45,17.45,17.45,17.45,1400000
55,"1950-03-22 00:00:00",17.55,17.55,17.55,17.55,17.55,2010000
56,"1950-03-23 00:00:00",17.56,17.56,17.56,17.56,17.56,2020000
57,"1950-03-24 00:00:00",17.56,17.56,17.56,17.56,17.56,1570000
58,"1950-03-27 00:00:00",17.46,17.46,17.46,17.46,17.46,1930000
59,"1950-03-28 00:00:00",17.53,17.53,17.53,17.53,17.53,1780000
60,"1950-03-29 00:00:00",17.44,17.44,17.44,17.44,17.44,2090000
61,"1950-03-30 00:00:00",17.3,17.3,17.3,17.3,17.3,2370000
62,"1950-03-31 00:00:00",17.29,17.29,17.29,17.29,17.29,1880000
63,"1950-04-03 00:00:00",17.53,17.53,17.53,17.53,17.53,1570000
64,"1950-04-04 00:00:00",17.55,17.55,17.55,17.55,17.55,2010000
65,"1950-04-05 00:00:00",17.63,17.63,17.63,17.63,17.63,1430000
66,"1950-04-06 00:00:00",17.78,17.78,17.78,17.78,17.78,2000000
67,"1950-04-10 00:00:00",17.85,17.85,17.85,17.85,17.85,2070000
68,"1950-04-11 00:00:00",17.75,17.75,17.75,17.75,17.75,2010000
69,"1950-04-12 00:00:00",17.94,17.94,17.94,17.94,17.94,2010000
70,"1950-04-13 00:00:00",17.98,17.98,17.98,17.98,17.98,2410000
71,"1950-04-14 00:00:00",17.96,17.96,17.96,17.96,17.96,2750000
72,"1950-04-17 00:00:00",17.88,17.88,17.88,17.88,17.88,2520000
73,"1950-04-18 00:00:00",18.03,18.03,18.03,18.03,18.03,3320000
74,"1950-04-19 00:00:00",18.05,18.05,18.05,18.05,18.05,2950000
75,"1950-04-20 00:00:00",17.93,17.93,17.93,17.93,17.93,2590000
76,"1950-04-21 00:00:00",17.96,17.96,17.96,17.96,17.96,2710000
77,"1950-04-24 00:00:00",17.83,17.83,17.83,17.83,17.83,2310000
78,"1950-04-25 00:00:00",17.83,17.83,17.83,17.83,17.83,1830000
79,"1950-04-26 00:00:00",17.76,17.76,17.76,17.76,17.76,1880000
80,"1950-04-27 00:00:00",17.86,17.86,17.86,17.86,17.86,2070000
81,"1950-04-28 00:00:00",17.96,17.96,17.96,17.96,17.96,2190000
82,"1950-05-01 00:00:00",18.22,18.22,18.22,18.22,18.22,2390000
83,"1950-05-02 00:00:00",18.11,18.11,18.11,18.11,18.11,2250000
84,"1950-05-03 00:00:00",18.27,18.27,18.27,18.27,18.27,2120000
85,"1950-05-04 00:00:00",18.12,18.12,18.12,18.12,18.12,2150000
86,"1950-05-05 00:00:00",18.22,18.22,18.22,18.22,18.22,1800000
87,"1950-05-08 00:00:00",18.27,18.27,18.27,18.27,18.27,1680000
88,"1950-05-09 00:00:00",18.27,18.27,18.27,18.27,18.27,1720000
89,"1950-05-10 00:00:00",18.29,18.29,18.29,18.29,18.29,1880000
90,"1950-05-11 00:00:00",18.29,18.29,18.29,18.29,18.29,1750000
91,"1950-05-12 00:00:00",18.18,18.18,18.18,18.18,18.18,1790000
92,"1950-05-15 00:00:00",18.26,18.26,18.26,18.26,18.26,1220000
93,"1950-05-16 00:00:00",18.44,18.44,18.44,18.44,18.44,1730000
